설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
남원환승정류장(남원읍사무소) (남원읍사무소방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 남원리 196-3,,제주특별자치도,064-710-2352,33.281241,126.720799,2019-08-31
남원환승정류장(남원읍사무소) (비안동방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 남원리 211-2,,제주특별자치도,064-710-2352,33.281106,126.720998,2019-08-31
의귀환승정류장(의귀초등학교)[서] (의귀서동네 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 의귀리 1483-10,,제주특별자치도,064-710-2352,33.310811,126.714838,2019-08-31
의귀환승정류장(의귀초등학교)[동](의귀교회 앞 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 의귀리 1503-2,,제주특별자치도,064-710-2352,33.310911,126.714982,2019-08-31
대정환승정류장(대정읍사무소) (무릉리 사장동 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 하모리 1443-4,,제주특별자치도,064-710-2352,33.226004,126.25178,2019-08-31
대정환승정류장(대정읍사무소) (대정초교후문 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 하모리 1417-4,,제주특별자치도,064-710-2352,33.225755,126.253203,2019-08-31
하례환승정류장(하례리입구)[서] (서귀포산업과학고등학교 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 상효동 1122-5,,제주특별자치도,064-710-2352,33.299713,126.600592,2019-08-31
하례환승정류장(하례리입구) (종점 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 상효동 1122-5,,제주특별자치도,064-710-2352,33.299703,126.600709,2019-08-31
신산환승정류장(성산농협신산지점)[동] (신산리 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 신산리 1041-4,,제주특별자치도,064-710-2352,33.380259,126.876179,2019-08-31
신산환승정류장(성산농협신산지점) (희진주유소 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 신산리 1047-3,,제주특별자치도,064-710-2352,33.379872,126.875801,2019-08-31
화순환승정류장(안덕농협)[남] (화순동취락지구 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 화순리 1079-4,,제주특별자치도,064-710-2352,33.246464,126.334979,2019-08-31
화순환승정류장(안덕농협)[북] (화순리 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 화순리 1074-11,,제주특별자치도,064-710-2352,33.246677,126.3355,2019-08-31
동광환승정류장4(제주방면) (원물오름 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 동광리 824-1,,제주특별자치도,064-710-2352,33.31044,126.341096,2019-08-31
동광환승정류장3(한림방면) (이시돌 삼거리 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 동광리 825-3,,제주특별자치도,064-710-2352,33.310414,126.340654,2019-08-31
동광환승정류장2(영어교육도시방면) (신화역사공원 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 동광리 942-5,,제주특별자치도,064-710-2352,33.310269,126.339681,2019-08-31
동광환승정류장6(모슬포방면) (동광리 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 동광리 943-4,,제주특별자치도,064-710-2352,33.309555,126.340262,2019-08-31
동광환승정류장5(서귀방면) (테디밸리 골프앤리조트. 헬로키티 아일랜드 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 동광리 809-1,,제주특별자치도,064-710-2352,33.309754,126.340822,2019-08-31
동광환승정류장1 (종점방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 동광리 942-6,,제주특별자치도,064-710-2352,33.310269,126.339676,2019-08-31
성읍환승정류장(성읍1리사무소) (성읍1리 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 표선면 성읍리 666-6,,제주특별자치도,064-710-2352,33.389552,126.798319,2019-08-31
성읍환승정류장(성읍1리사무소) (성읍농협 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 표선면 성읍리 668-5,,제주특별자치도,064-710-2352,33.389315,126.798544,2019-08-31
표선환승정류장(표선면사무소)[서] (표선리 사거리 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 표선면 표선리 701-2,,제주특별자치도,064-710-2352,33.326721,126.832066,2019-08-31
표선환승정류장(표선면사무소)[동] (표선중학교 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 표선면 표선리 600-7,,제주특별자치도,064-710-2352,33.326721,126.832066,2019-08-31
표선환승정류장(표선리 제주은행)[서] (성산포수협표선지점 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 표선면 표선리 596-6,,제주특별자치도,064-710-2352,33.326813,126.833486,2019-08-31
표선환승정류장(표선리사무소)[동] (표선초등학교 방면),버스정류장 상부,제주특별자치도,서귀포시,교통시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 표선면 표선리 631-1,,제주특별자치도,064-710-2352,33.325341,126.83251,2019-08-31
제주권역재활병원,5F 복도,제주특별자치도,서귀포시,서민·복지시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 동문로 1,제주특별자치도 서귀포시 서귀동 284-1,제주특별자치도,064-710-2352,33.252765,126.562376,2019-08-31
제주권역재활병원,6F 복도,제주특별자치도,서귀포시,서민·복지시설,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 동문로 1,제주특별자치도 서귀포시 서귀동 284-1,제주특별자치도,064-710-2352,33.252765,126.562376,2019-08-31
휴애리생활공원,매표소홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 신례동로 256,제주특별자치도 서귀포시 남원읍 신례리 2081,제주특별자치도,064-710-2352,33.308979,126.633808,2019-08-31
휴애리생활공원,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 남원읍 신례동로 256,제주특별자치도 서귀포시 남원읍 신례리 2081,제주특별자치도,064-710-2352,33.308979,126.633808,2019-08-31
노리매(매화테마공원),매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,제주특별자치도 서귀포시 대정읍 구억리 676,제주특별자치도,064-710-2352,33.2825685,126.286721,2019-08-31
노리매(매화테마공원),건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,제주특별자치도 서귀포시 대정읍 구억리 676,제주특별자치도,064-710-2352,33.2825685,126.286721,2019-08-31
제주옹기박물관,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 무영로254번길 3,제주특별자치도 서귀포시 대정읍 무릉리 887-2,제주특별자치도,064-710-2352,33.282973,126.223335,2019-08-31
황금륭골든힐허브팜,매표소홀&식당,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 칠전로 434,제주특별자치도 서귀포시 대정읍 신도리 10,제주특별자치도,064-710-2352,33.286653,126.2229014,2019-08-31
황금륭골든힐허브팜,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 대정읍 칠전로 434,제주특별자치도 서귀포시 대정읍 신도리 10,제주특별자치도,064-710-2352,33.286653,126.2229014,2019-08-31
대유ATV수렵사격랜드,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 상예로 381,제주특별자치도 서귀포시 상예동 144,제주특별자치도,064-710-2352,33.277556,126.395368,2019-08-31
대유ATV수렵사격랜드,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 상예로 381,제주특별자치도 서귀포시 상예동 144,제주특별자치도,064-710-2352,33.277554,126.395364,2019-08-31
믿거나말거나박물관,매표소홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문관광로110번길 32,제주특별자치도 서귀포시 색달동 2864-2,제주특별자치도,064-710-2352,33.251091,126.412761,2019-08-31
믿거나말거나박물관,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문관광로110번길 32,제주특별자치도 서귀포시 색달동 2864-2,제주특별자치도,064-710-2352,33.251091,126.412761,2019-08-31
세계성문화박물관,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 월드컵로 31,제주특별자치도 서귀포시 법환동 914,제주특별자치도,064-710-2352,33.247252,126.507363,2019-08-31
세계조가비박물관,매표소 뒤,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 태평로 284,제주특별자치도 서귀포시 서홍동 557-1,제주특별자치도,064-710-2352,33.247469,126.551641,2019-08-31
세계조가비박물관,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 태평로 284,제주특별자치도 서귀포시 서홍동 557-1,제주특별자치도,064-710-2352,33.247469,126.551641,2019-08-31
세리월드_동화속미로공원,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 법환상로2번길 97-17,제주특별자치도 서귀포시 법환동 877-3,제주특별자치도,064-710-2352,33.2468934,126.511985,2019-08-31
세리월드_동화속미로공원,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 법환상로2번길 97-17,제주특별자치도 서귀포시 법환동 877-3,제주특별자치도,064-710-2352,33.2468934,126.511985,2019-08-31
제주다원,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 산록남로 1258,제주특별자치도 서귀포시 색달동 산 50,제주특별자치도,064-710-2352,33.290385,126.422818,2019-08-31
제주유리박물관,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중산간서로 1403,제주특별자치도 서귀포시 상예동 4303,제주특별자치도,064-710-2352,33.278592,126.370274,2019-08-31
테디베어뮤지엄,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문관광로110번길 31,제주특별자치도 서귀포시 색달동 2889,제주특별자치도,064-710-2352,33.250254,126.411977,2019-08-31
테디베어뮤지엄,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문관광로110번길 31,제주특별자치도 서귀포시 색달동 2889,제주특별자치도,064-710-2352,33.250254,126.411977,2019-08-31
퍼시픽랜드,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문관광로 154-17,제주특별자치도 서귀포시 색달동 2950-4,제주특별자치도,064-710-2352,33.244447,126.416191,2019-08-31
퍼시픽랜드,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문관광로 154-17,제주특별자치도 서귀포시 색달동 2950-4,제주특별자치도,064-710-2352,33.244447,126.416191,2019-08-31
플레이케이팝제주,매표소홀&중문다방VR체험실,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중문관광로110번길 15,제주특별자치도 서귀포시 색달동 2864-36,제주특별자치도,064-710-2352,33.249942,126.413261,2019-08-31
한국야구명예전당,중앙홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 중산간서로 97-1,제주특별자치도 서귀포시 강정동 1479-1,제주특별자치도,064-710-2352,33.260075,126.498596,2019-08-31
블루마운틴커피테마파크,매표소홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 중산간동로 4255,제주특별자치도 서귀포시 성산읍 삼달리 1510-1,제주특별자치도,064-710-2352,33.380169,126.837168,2019-08-31
블루마운틴커피테마파크,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 중산간동로 4255,제주특별자치도 서귀포시 성산읍 삼달리 1510-1,제주특별자치도,064-710-2352,33.380169,126.837168,2019-08-31
성산포조가비박물관,전시실,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 시흥하동로 112,제주특별자치도 서귀포시 성산읍 시흥리 12-87,제주특별자치도,064-710-2352,33.477619,126.908334,2019-08-31
올인하우스,건물외벽 남,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 섭지코지로 261,제주특별자치도 서귀포시 성산읍 고성리 57,제주특별자치도,064-710-2352,33.425779,126.931337,2019-08-31
올인하우스,건물외벽 북,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 섭지코지로 261,제주특별자치도 서귀포시 성산읍 고성리 57,제주특별자치도,064-710-2352,33.425779,126.931337,2019-08-31
일출랜드,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010,제주특별자치도,064-710-2352,33.383538,126.841361,2019-08-31
일출랜드,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010,제주특별자치도,064-710-2352,33.383538,126.841361,2019-08-31
제주공룡휴게소박물관,1층 홀,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 난산로 293,제주특별자치도 서귀포시 성산읍 난산리 2515,제주특별자치도,064-710-2352,33.406694,126.844897,2019-08-31
제주공룡휴게소박물관,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 성산읍 난산로 293,제주특별자치도 서귀포시 성산읍 난산리 2515,제주특별자치도,064-710-2352,33.406694,126.844897,2019-08-31
건강과성박물관,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도 서귀포시 안덕면 감산리 1404,제주특별자치도,064-710-2352,33.254669,126.346701,2019-08-31
다빈치뮤지엄,매표소,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 산록남로 788,제주특별자치도 서귀포시 안덕면 상천리 837,제주특별자치도,064-710-2352,33.319118,126.385098,2019-08-31
다빈치뮤지엄,건물외벽,제주특별자치도,서귀포시,관광,KT,Jeju Free WiFI,Aug-17,제주특별자치도 서귀포시 안덕면 산록남로 788,제주특별자치도 서귀포시 안덕면 상천리 837,제주특별자치도,064-710-2352,33.319118,126.385098,2019-08-31
