연도,학제,학교 세부 유형,고등학교유형,시도,교육지원청,행정구,학교명,본분교,학교상태,설립,남여공학,우편번호,도로명주소,연락처,팩스번호,홈페이지
2019,유치원,,유치원,제주,제주시,제주시,마야유치원,본교,기존(원)교,사립,,63304 ,제주특별자치도 제주시 거로남6길 48 . 마야유치원 (화북이동),064-755-3131,064-755-3155,http://mayakindergarten.kidis.co.kr/
2019,유치원,,유치원,제주,제주시,제주시,연동유치원,본교,기존(원)교,사립,,63131 ,제주특별자치도 제주시 제원3길 3 (연동),064-746-1681,064-746-1671,http://www.e-ini.co.kr
2019,유치원,,유치원,제주,제주시,제주시,제주영락유치원,본교,기존(원)교,사립,,63251 ,제주특별자치도 제주시 동광로23길 15 (일도이동),064-753-1230,064-753-1257,http://www.jejuyn.com
2019,유치원,,유치원,제주,제주시,제주시,원명유치원,본교,휴(원)교,사립,,63293 ,제주특별자치도 제주시 원두길 34 (화북일동),064-755-3323,064-755-0880,http://www.wonkid.kr
2019,유치원,,유치원,제주,제주시,제주시,전원유치원,본교,기존(원)교,사립,,63232 ,제주특별자치도 제주시 구남동8길 1-6 (이도이동),064-722-5755,064-751-5755,http://www.jejujeonwon.co.kr
2019,유치원,,유치원,제주,제주시,제주시,제주중앙유치원,본교,기존(원)교,사립,,63252 ,제주특별자치도 제주시 고마로7길 11 (일도이동),064-758-7876,064-758-7875,http://www.jakid.kidswon.com
2019,유치원,,유치원,제주,제주시,제주시,해봉유치원,본교,기존(원)교,사립,,63142 ,제주특별자치도 제주시 삼동2길 21-7 (연동),064-747-9108,064-743-9108,http://www.haebong.co.kr
2019,유치원,,유치원,제주,제주시,제주시,동원유치원,본교,기존(원)교,사립,,63228 ,제주특별자치도 제주시 황새왓길 20 (이도이동),064-702-0012,064-702-0093,http://kid.jeju.ac.kr/
2019,유치원,,유치원,제주,제주시,제주시,제주엔젤유치원,본교,기존(원)교,사립,,63311 ,제주특별자치도 제주시 월평9길 2-8 (월평동),064-723-8004,064-723-8005,http://www.jejuangel.net
2019,유치원,,유치원,제주,제주시,제주시,한라유치원,본교,기존(원)교,사립,,63139 ,제주특별자치도 제주시 국기로2길 18 (연동),064-743-0675,064-743-0679,http://hallakid.co.kr
2019,유치원,,유치원,제주,제주시,제주시,제주충신유치원,본교,기존(원)교,사립,,63140 ,제주특별자치도 제주시 연화로2길 17-6 (연동),064-747-2033,064-747-2034,http://www.jchild.com
2019,유치원,,유치원,제주,제주시,제주시,금호유치원,본교,기존(원)교,사립,,63092 ,제주특별자치도 제주시 진군남2길 18 (노형동),064-741-2719,064-741-2716,http://www.geumho.org
2019,유치원,,유치원,제주,제주시,제주시,새순유치원,본교,기존(원)교,사립,,63104 ,제주특별자치도 제주시 수덕로 66 (노형동),064-744-0005,064-744-0125,http://www.saesoon.kidswon.com
2019,유치원,,유치원,제주,제주시,제주시,고산초등학교병설유치원,본교,기존(원)교,공립,,63008 ,제주특별자치도 제주시 한경면 고산로1길 16 (한경면),064-773-0829,064-772-5478,http://gosan.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,구좌중앙초등학교병설유치원,본교,기존(원)교,공립,,63358 ,제주특별자치도 제주시 구좌읍 월정7길 1 (구좌읍),064-783-5308,064-783-9380,http://kujwa.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,납읍초등학교병설유치원,본교,기존(원)교,공립,,63035 ,제주특별자치도 제주시 애월읍 납읍로2길 47 (애월읍),064-797-3408,064-797-3499,http://nabeup.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,대흘초등학교병설유치원,본교,기존(원)교,공립,,63343 ,제주특별자치도 제주시 조천읍 중산간동로 677 (조천읍),064-780-3620,064-783-6625,http://daehul.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,도남초등학교병설유치원,본교,기존(원)교,공립,,63204 ,제주특별자치도 제주시 도남로8길 22 (도남동),064-752-2702,064-752-2705,http://jejudonam.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,물메초등학교병설유치원,본교,기존(원)교,공립,,63056 ,제주특별자치도 제주시 애월읍 엄수로 202-4 물메초등학교 병설유치원,064-717-8004,064-717-8099,http://mulme.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,북촌초등학교병설유치원,본교,기존(원)교,공립,,63339 ,제주특별자치도 제주시 조천읍 일주동로 1481 (조천읍),064-717-3804,064-717-3881,http://bukchon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,세화초등학교병설유치원,본교,기존(원)교,공립,,63361 ,제주특별자치도 제주시 구좌읍 구좌로 65 (구좌읍),064-782-1116,064-782-7604,http://sehwa.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,송당초등학교병설유치원,본교,기존(원)교,공립,,63355 ,제주특별자치도 제주시 구좌읍 중산간동로 2218-3 (구좌읍),064-780-6800,064-780-6899,http://songdang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,수원초등학교병설유치원,본교,기존(원)교,공립,,63026 ,제주특별자치도 제주시 한림읍 한림로 822 (한림읍),064-797-3140,064-796-0243,http://suwon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,신촌초등학교병설유치원,본교,기존(원)교,공립,,63337 ,제주특별자치도 제주시 조천읍 신북로 51 (조천읍),064-780-5767,064-780-5789,http://sinchon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,애월초등학교병설유치원,본교,기존(원)교,공립,,63043 ,제주특별자치도 제주시 애월읍 애월로 139-10 (애월읍),064-795-8900,064-795-8999,http://aewol.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,어도초등학교병설유치원,본교,기존(원)교,공립,,63039 ,제주특별자치도 제주시 애월읍 봉성로 76 (애월읍),064-799-0519,064-799-0516,http://www.uhdo.es.kr
2019,유치원,,유치원,제주,제주시,제주시,우도초등학교병설유치원,본교,기존(원)교,공립,,63365 ,제주특별자치도 제주시 우도면 우도로 156-11 (우도면),064-786-4500,064-786-4599,http://udo.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,장전초등학교병설유치원,본교,기존(원)교,공립,,63055 ,제주특별자치도 제주시 애월읍 장전로 122 (애월읍),064-798-2210,064-798-2250,http://jangjeon.jje.es.kr/
2019,유치원,,유치원,제주,제주시,제주시,재릉초등학교병설유치원,본교,기존(원)교,공립,,63011 ,제주특별자치도 제주시 한림읍 한림로 288-18 (한림읍),064-795-5780,064-795-5799,http://jaereung.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,저청초등학교병설유치원,본교,기존(원)교,공립,,63006 ,제주특별자치도 제주시 한경면 중산간서로 3591 (한경면),064-798-1640,064-798-1649,http://jeocheong.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,조천초등학교병설유치원,본교,기존(원)교,공립,,63331 ,제주특별자치도 제주시 조천읍 신북로 195 (조천읍. 조천초등학교),064-784-4601,064-782-4702,http://jocheon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,종달초등학교병설유치원,본교,기존(원)교,공립,,63364 ,제주특별자치도 제주시 구좌읍 종달로7길 5 (구좌읍),064-783-3189,064-784-2441,http://jongdal.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,추자초등학교병설유치원,본교,기존(원)교,공립,,63000 ,제주특별자치도 제주시 추자면 대서3길 10 (추자면.추자초등학교병설유치원),064-742-8531,064-742-3648,http://chuja.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,추자초등학교병설신양분교장유치원,본교,휴(원)교,공립,,63001 ,제주특별자치도 제주시 추자면 추자로 553-10 (추자면),064-742-8532,064-742-8422,http://chuja.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,평대초등학교병설유치원,본교,기존(원)교,공립,,63360 ,제주특별자치도 제주시 구좌읍 일주동로 2979 (구좌읍),064-750-6830,064-750-6805,http://pyungdae.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,하귀초등학교병설유치원,본교,기존(원)교,공립,,63051 ,제주특별자치도 제주시 애월읍 하귀로 44 (애월읍),064-713-9006,064-713-7655,http://hagwi.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,하도초등학교병설유치원,본교,기존(원)교,공립,,63363 ,제주특별자치도 제주시 구좌읍 일주동로 3378 (구좌읍),064-782-6898,064-784-4004,http://www.hado.es.kr
2019,유치원,,유치원,제주,제주시,제주시,한동초등학교병설유치원,본교,기존(원)교,공립,,63359 ,제주특별자치도 제주시 구좌읍 일주동로 2831 (구좌읍),064-783-2354,064-783-3467,http://handong.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,한림초등학교병설유치원,본교,기존(원)교,공립,,63032 ,제주특별자치도 제주시 한림읍 한림로4길 16 (한림읍),064-797-3070,064-797-3075,http://hallim.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,함덕초등학교병설유치원,본교,기존(원)교,공립,,63333 ,제주특별자치도 제주시 조천읍 일주동로 1231 (조천읍),064-780-4507,064-780-4566,http://hamdeok.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,한림성모유치원,본교,기존(원)교,사립,,63030 ,제주특별자치도 제주시 한림읍 한수풀로 28-4 (한림읍),064-796-3588,064-796-9588,http://hallimsungmo.kidswon.com/
2019,유치원,,유치원,제주,제주시,제주시,제주관광대학교부속유치원,본교,기존(원)교,사립,,63062 ,제주특별자치도 제주시 애월읍 평화로 2755-1 . 제주관광대학교부속유치원 (애월읍),064-746-9220,064-746-9223,http://www.jtukid.co.kr/
2019,유치원,,유치원,제주,제주시,제주시,광령초등학교병설유치원,본교,기존(원)교,공립,,63062 ,제주특별자치도 제주시 애월읍 광성로 276 (애월읍),064-748-4089,064-748-4093,http://gwang-r.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,구엄초등학교병설유치원,본교,기존(원)교,공립,,63049 ,제주특별자치도 제주시 애월읍 일주서로 6768 (애월읍),064-713-5191,064-713-6567,http://gueom.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,귀덕초등학교병설유치원,본교,기존(원)교,공립,,63024 ,제주특별자치도 제주시 한림읍 귀덕14길 14-5 (한림읍),064-795-7788,064-795-7799,http://gwideok.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,김녕초등학교병설유치원,본교,기존(원)교,공립,,63357 ,제주특별자치도 제주시 구좌읍 김녕로 117 (구좌읍),064-783-2113,064-784-4077,http://kimnyeong.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,이도초등학교병설유치원,본교,기존(원)교,공립,,63233 ,제주특별자치도 제주시 구남동2길 58 (이도이동),064-754-5200,064-754-5209,http://ido.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,제주중앙초등학교병설유치원,본교,기존(원)교,공립,,63175 ,제주특별자치도 제주시 서사로18길 40 (삼도일동),064-729-3800,064-729-3838,http://jejujungang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,하귀일초등학교병설유치원,본교,기존(원)교,공립,,63054 ,제주특별자치도 제주시 애월읍 하귀9길 42 (애월읍. 하귀일초등학교),064-795-0800,064-795-0899,http://hagwiil.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,삼화초등학교병설유치원,본교,기존(원)교,공립,,63303 ,제주특별자치도 제주시 화삼북로 2길 27 (화북일동),064-750-3405,064-750-3497,http://jj-samhwa.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,신광초등학교병설유치원,본교,기존(원)교,공립,,63127 ,제주특별자치도 제주시 성신로 25 (연동),064-741-0870,064-741-0876,http://jeju-sk.jje.es.kr/
2019,유치원,,유치원,제주,제주시,제주시,도련초등학교병설유치원,본교,기존(원)교,공립,,63324 ,제주특별자치도 제주시 화삼로 104 (도련일동),064-754-1397,064-754-1227,http://doryeon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,도평초등학교병설유치원,본교,기존(원)교,공립,,63076 ,제주특별자치도 제주시 도평길 17 (도평동),064-740-0170,064-740-0199,http://jejudopyeong.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,동광초등학교병설유치원,본교,기존(원)교,공립,,63260 ,제주특별자치도 제주시 태성로 6 (일도이동. 동광초등학교),064-729-5870,064-722-7109,http://donggwang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,백록초등학교병설유치원,본교,기존(원)교,공립,,63101 ,제주특별자치도 제주시 정존5길 62 (노형동. 백록초등학교),064-746-9457,064-746-9458,http://bn.jje.es.kr/
2019,유치원,,유치원,제주,제주시,제주시,김녕초등학교병설동복분교장유치원,본교,기존(원)교,공립,,63347 ,제주특별자치도 제주시 구좌읍 동복로 66-5 (구좌읍. 김녕초등학교분교장),064-780-5920,064-780-5990,http://kimnyeong.jje.es.kr/
2019,유치원,,유치원,제주,제주시,제주시,신창초등학교병설유치원,본교,기존(원)교,공립,,63002 ,제주특별자치도 제주시 한경면 두신로 72 (한경면. 신창초등학교),064-795-0730,064-772-0792,http://sinchang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,화북초등학교병설유치원,본교,기존(원)교,공립,,63293 ,제주특별자치도 제주시 일주동로 157 (화북일동. 화북초등학교병설유치원),064-720-7500,064-720-7599,http://hwabuk.jje.es.kr
2019,초등학교,,초등학교,제주,제주시,제주시,제주대학교교육대학부설초등학교,본교,기존(원)교,국립,,63294 ,제주특별자치도 제주시 일주동로 61 (화북일동),064-755-0051,064-755-2311,http://jejubuseol.jje.es.kr
2019,초등학교,,초등학교,제주,제주시,제주시,광양초등학교,본교,기존(원)교,공립,,63197 ,제주특별자치도 제주시 돈내길 5 (이도일동),064-754-6900,064-756-0014,http://jeju-gwyang.jje.es.kr
2019,초등학교,,초등학교,제주,제주시,제주시,남광초등학교,본교,기존(원)교,공립,,63231 ,제주특별자치도 제주시 남광로 28 (이도이동),064-754-7500,064-723-3055,http://www.namgwang.es.kr
2019,초등학교,,초등학교,제주,제주시,제주시,노형초등학교,본교,기존(원)교,공립,,63102 ,제주특별자치도 제주시 노형로 383 (노형동),064-740-8400,064-744-8829,http://nohyung.jje.es.kr
2019,초등학교,,초등학교,제주,제주시,제주시,도남초등학교,본교,기존(원)교,공립,,63204 ,제주특별자치도 제주시 도남로8길 22 (도남동.도남초등학교),064-728-0700,064-728-0799,http://jejudonam.jje.es.kr
2019,초등학교,,초등학교,제주,제주시,제주시,도리초등학교,본교,기존(원)교,공립,,63112 ,제주특별자치도 제주시 도리로 129 . 도리초등학교 (도두일동),064-717-4600,064-717-4699,http://dori.jje.es.kr
2019,초등학교,,초등학교,제주,제주시,제주시,동광초등학교,본교,기존(원)교,공립,,63260 ,제주특별자치도 제주시 태성로 6 (일도이동),064-729-5800,064-722-7109,http://donggwang.jje.es.kr
2019,초등학교,,초등학교,제주,제주시,제주시,동화초등학교,본교,기존(원)교,공립,,63301 ,제주특별자치도 제주시 동화로1길 44 (화북일동. 동화초등학교),064-729-5700,064-729-5789,http://donghwa.jje.es.kr
